@relation twitter-loc-most10-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute a numeric
@attribute i numeric
@attribute im numeric
@attribute lol numeric
@attribute me numeric
@attribute my numeric
@attribute rt numeric
@attribute the numeric
@attribute to numeric
@attribute u numeric
@attribute class {NewYork,California,Georgia}

@data
0,1,0,0,0,0,0,0,1,0,California
0,0,1,1,0,1,1,0,0,0,California
0,2,2,0,0,0,0,2,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,1,0,0,1,0,1,0,0,0,California
0,1,0,0,0,0,0,1,0,0,California
0,1,0,0,0,1,0,0,0,0,California
0,1,0,1,0,1,1,0,0,0,California
1,1,0,0,0,0,0,0,0,0,California
1,0,0,2,0,0,1,0,0,0,California
0,1,0,0,0,0,0,0,0,0,California
0,0,0,0,1,0,0,0,0,0,California
0,0,0,1,0,0,0,0,0,0,California
0,0,0,0,0,1,0,0,0,0,California
0,0,0,2,0,0,0,0,1,1,California
0,0,1,0,0,0,1,2,0,0,California
0,0,0,0,0,0,0,0,0,0,California
2,0,0,1,0,0,2,0,0,1,California
0,0,0,0,0,0,0,0,0,0,California
0,1,0,0,0,1,0,0,0,0,California
0,1,0,0,0,1,0,1,0,0,California
0,0,1,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,1,0,0,California
1,0,2,1,0,0,0,0,1,0,California
0,2,1,1,0,0,0,1,0,0,California
0,1,0,0,0,0,0,0,0,0,California
0,1,0,0,0,0,0,0,1,0,California
1,1,0,0,0,0,0,0,1,0,California
0,1,0,0,0,0,0,0,0,0,California
0,1,0,0,0,0,0,0,0,0,California
1,1,0,0,0,0,0,0,1,0,California
0,0,1,1,0,0,0,0,0,0,California
0,1,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,2,0,0,0,1,1,2,0,California
0,0,0,0,0,0,0,0,2,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,1,0,0,0,0,California
0,1,0,0,0,0,0,0,0,0,California
0,0,0,0,0,2,0,0,0,0,California
0,0,1,1,0,0,0,0,0,0,California
0,1,0,0,0,0,0,0,0,1,California
0,0,0,1,0,0,0,0,0,0,California
0,2,0,0,0,0,0,1,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,1,0,0,1,1,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,1,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
1,2,0,1,0,0,0,0,0,0,California
0,0,1,0,0,0,0,0,0,1,California
0,0,0,0,0,0,0,1,0,0,California
0,0,0,1,0,0,0,0,0,1,California
0,1,0,0,0,0,0,1,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,1,California
0,2,0,0,0,0,0,0,1,0,California
0,1,0,0,0,0,0,0,0,0,California
0,2,0,0,0,1,0,0,0,0,California
1,1,0,0,0,1,0,0,0,0,California
0,0,0,0,0,1,0,0,1,0,California
0,1,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,1,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,1,0,0,0,0,1,1,1,California
0,1,0,1,0,0,0,1,0,0,California
0,1,1,1,0,0,0,0,1,0,California
0,0,0,0,1,0,0,0,0,0,California
2,0,0,0,0,0,0,0,0,1,NewYork
0,1,0,0,0,0,1,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,0,0,0,0,2,0,1,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,1,0,0,NewYork
0,0,0,0,1,0,0,0,0,0,NewYork
0,1,0,0,0,1,0,0,0,0,NewYork
0,1,0,0,0,1,0,1,0,0,NewYork
1,2,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,0,0,0,NewYork
0,1,0,1,0,0,0,1,0,0,NewYork
0,0,0,1,0,1,0,0,0,0,NewYork
0,1,0,2,0,0,1,0,0,0,NewYork
1,2,0,0,1,0,0,0,0,0,NewYork
0,0,0,0,0,1,1,0,0,0,NewYork
0,0,0,1,0,0,1,0,0,1,NewYork
0,1,0,2,1,0,1,0,0,1,NewYork
0,0,0,0,1,0,0,1,0,1,NewYork
4,2,0,0,0,1,0,1,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,1,0,2,0,0,1,0,0,Georgia
1,1,0,1,1,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,1,0,1,0,Georgia
0,1,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
1,1,0,1,0,1,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,1,0,Georgia
0,0,0,0,0,1,0,1,0,0,Georgia
1,1,0,0,0,0,2,0,0,0,Georgia
1,1,0,0,0,0,0,0,0,0,Georgia
0,2,0,0,0,1,0,0,0,0,Georgia
0,2,0,0,0,0,0,0,1,0,Georgia
0,0,0,0,0,0,0,0,2,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
1,0,0,0,0,0,0,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,1,0,1,0,0,0,1,0,1,Georgia
0,0,0,0,0,0,1,0,0,0,Georgia
0,1,0,0,0,0,0,0,1,0,Georgia
0,0,0,1,0,0,0,0,0,1,Georgia
2,1,0,0,0,0,0,1,0,0,Georgia
0,1,1,1,1,0,0,0,0,0,Georgia
1,3,0,0,0,0,0,0,0,1,Georgia
0,1,0,0,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,2,0,0,Georgia
0,0,0,0,0,1,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,1,0,0,1,0,0,1,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,3,0,0,0,2,0,2,0,0,Georgia
0,0,1,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,1,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,2,0,0,0,1,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,1,0,0,0,0,0,0,0,1,Georgia
0,2,0,0,0,0,0,1,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,0,2,0,NewYork
1,2,1,0,0,0,0,1,0,0,NewYork
0,0,1,0,0,0,0,0,1,0,NewYork
0,0,0,0,0,0,1,1,1,1,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,1,0,0,1,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,1,0,0,1,0,0,NewYork
0,2,0,1,0,0,0,0,0,0,NewYork
1,0,1,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,1,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,0,1,0,0,1,0,0,1,0,NewYork
0,0,0,0,0,0,0,1,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,2,0,0,0,NewYork
0,0,0,0,0,0,0,1,0,0,NewYork
0,0,1,0,0,0,0,1,0,0,NewYork
0,0,1,0,1,1,0,0,0,0,NewYork
0,3,0,1,0,0,0,0,1,0,NewYork
0,0,0,1,0,0,0,1,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,California
0,2,1,0,0,0,1,0,0,0,California
0,0,0,0,0,0,1,0,2,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,1,0,1,California
1,1,0,0,2,1,0,1,2,0,California
0,3,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,2,0,0,0,0,1,0,0,0,California
0,0,0,0,0,0,0,2,1,0,California
0,0,0,0,1,0,0,1,0,0,California
0,0,0,0,0,0,0,0,0,1,California
0,0,0,0,0,0,1,0,2,1,California
2,0,0,0,0,0,1,0,0,0,California
1,0,0,0,0,0,1,0,0,3,California
0,2,0,0,2,0,0,0,0,1,California
1,0,0,0,0,0,0,1,0,2,California
1,0,1,0,0,0,0,0,0,0,California
0,0,0,0,0,0,1,0,0,0,California
0,0,0,0,0,0,2,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,1,0,0,0,California
0,0,0,0,0,0,1,0,0,0,California
0,0,0,0,0,0,2,0,1,0,California
0,0,0,0,0,0,1,1,2,0,California
1,0,0,0,0,0,1,0,0,0,California
0,1,0,0,0,2,0,1,0,0,California
0,0,0,0,0,1,2,2,1,0,California
0,1,0,0,0,1,0,1,1,0,California
0,0,0,0,1,0,0,0,1,0,California
0,0,0,0,0,0,1,2,2,0,California
0,0,0,0,1,1,0,0,2,0,California
0,0,0,0,0,0,2,0,1,1,California
0,1,0,0,0,1,1,1,1,0,California
0,3,1,0,0,1,1,0,0,1,California
1,2,0,0,0,0,1,0,0,1,California
0,1,0,0,0,0,0,0,1,0,California
0,0,0,0,0,2,0,1,0,0,California
0,0,0,0,0,0,1,1,0,0,California
1,1,0,0,0,0,1,0,0,0,California
0,1,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,2,0,0,2,California
0,0,1,0,2,1,0,0,0,0,California
0,0,1,0,0,0,0,0,0,0,California
2,0,0,0,0,0,1,0,0,1,California
0,1,0,0,0,0,0,0,1,0,California
0,0,0,0,0,0,1,0,0,0,California
0,0,0,0,0,0,0,0,0,1,California
0,0,0,0,0,0,0,0,2,0,California
0,1,0,0,1,1,0,1,0,0,California
1,1,0,0,0,0,0,0,0,0,Georgia
0,1,0,0,0,0,0,0,0,0,Georgia
1,0,0,0,0,0,0,0,0,1,Georgia
1,1,0,0,0,0,0,0,0,0,Georgia
0,2,0,0,0,0,1,0,0,0,Georgia
0,0,0,1,0,0,1,0,0,0,Georgia
0,0,0,0,1,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,1,2,0,Georgia
0,2,0,0,0,0,0,0,0,0,Georgia
1,0,0,0,0,1,0,0,0,0,Georgia
0,0,0,0,1,0,1,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
3,0,0,0,0,0,2,1,0,0,Georgia
0,0,0,0,0,0,0,1,0,0,Georgia
0,0,0,0,0,1,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,1,1,0,0,1,0,0,0,Georgia
0,0,0,0,0,2,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,2,Georgia
0,1,0,0,1,0,1,1,0,0,Georgia
0,0,1,0,0,0,1,0,0,0,Georgia
0,0,0,0,1,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,1,Georgia
0,0,0,1,1,0,0,0,0,1,Georgia
1,1,0,0,0,1,0,0,1,0,Georgia
0,2,0,1,0,0,0,0,0,0,Georgia
0,1,0,0,0,0,0,0,0,0,Georgia
0,1,0,0,0,1,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,1,0,0,0,0,0,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,1,0,0,Georgia
0,0,0,0,0,0,0,0,0,2,Georgia
2,1,0,2,0,0,1,0,0,0,Georgia
0,0,0,0,0,0,1,2,1,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,1,0,1,0,0,Georgia
0,0,0,0,0,0,0,1,1,0,Georgia
0,0,0,0,0,0,1,1,1,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
2,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,1,1,0,0,Georgia
0,0,0,0,0,0,2,0,0,0,Georgia
1,1,0,0,0,1,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
1,0,1,0,0,0,0,0,0,0,Georgia
1,0,1,0,0,0,0,0,0,0,Georgia
0,1,0,0,0,1,1,0,0,0,Georgia
0,0,1,0,0,0,0,0,0,0,Georgia
0,0,0,0,1,0,1,0,0,0,Georgia
0,0,0,0,0,0,0,0,1,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
1,1,0,3,0,0,1,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,1,0,0,0,Georgia
1,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,1,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,1,1,Georgia
0,0,0,0,1,0,0,0,0,0,Georgia
0,0,0,0,0,0,1,2,0,0,Georgia
1,0,0,0,0,0,1,0,2,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,1,0,0,0,0,0,Georgia
1,0,0,0,0,0,0,1,1,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
1,0,0,2,0,0,0,0,0,0,NewYork
0,1,0,0,0,1,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
1,1,0,0,0,1,0,1,0,0,NewYork
0,0,1,0,1,0,1,0,1,1,NewYork
0,2,0,0,0,0,0,0,0,0,NewYork
0,3,0,0,0,1,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,0,0,1,NewYork
0,1,0,1,0,1,1,0,0,0,NewYork
0,1,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,1,0,0,0,1,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,3,1,0,0,1,0,0,1,1,NewYork
0,1,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,1,0,0,0,0,NewYork
0,0,0,0,0,0,1,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,2,1,0,1,0,0,1,NewYork
1,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
0,0,0,0,0,0,0,0,0,0,Georgia
0,4,1,1,0,0,0,0,1,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,1,0,0,0,1,0,1,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,0,1,0,0,0,1,1,Georgia
0,0,0,1,0,0,0,1,0,0,Georgia
0,0,1,0,0,0,1,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,1,Georgia
0,0,0,1,0,0,0,0,1,1,Georgia
0,1,0,2,0,0,1,0,2,1,Georgia
1,0,0,0,0,0,1,0,0,0,Georgia
0,1,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,1,0,0,2,0,0,1,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,1,0,0,1,0,0,1,0,Georgia
0,0,0,0,1,0,0,0,2,0,Georgia
0,0,0,0,0,1,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,1,1,0,0,0,0,1,0,0,Georgia
0,2,0,0,0,1,0,0,2,0,Georgia
1,0,0,0,0,0,0,0,0,0,Georgia
0,1,0,0,0,1,0,0,0,0,Georgia
0,1,0,0,0,0,0,1,2,0,Georgia
0,0,0,0,0,1,0,0,1,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,1,0,Georgia
0,0,0,1,0,0,1,0,0,2,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,1,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,1,0,1,0,0,0,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,1,0,0,Georgia
0,0,0,1,0,0,0,1,0,1,Georgia
1,0,0,1,0,0,0,0,2,2,Georgia
1,0,0,0,0,0,0,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,1,1,0,0,0,0,0,0,0,Georgia
1,0,2,0,0,0,1,0,0,1,Georgia
0,1,2,0,1,0,0,0,1,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,2,0,0,1,1,1,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,1,1,0,0,0,0,0,0,Georgia
0,1,0,0,0,0,0,1,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,1,0,Georgia
0,1,0,0,0,0,0,2,0,0,Georgia
1,1,0,0,0,2,0,1,0,3,Georgia
0,1,0,0,0,0,0,0,0,1,Georgia
0,1,1,1,0,0,0,0,0,2,Georgia
0,0,0,0,0,0,0,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,1,Georgia
0,1,1,0,0,0,0,0,0,2,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
1,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,0,0,1,0,1,2,1,Georgia
0,3,0,0,0,1,0,0,2,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,1,0,0,0,0,0,0,0,0,Georgia
0,1,0,0,0,1,0,0,1,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,1,0,0,0,0,0,1,1,Georgia
0,0,0,0,0,0,0,0,0,1,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
0,1,0,0,0,0,1,1,0,0,Georgia
0,0,0,1,0,0,0,0,0,0,Georgia
0,0,0,0,0,0,0,0,0,0,Georgia
1,4,0,0,0,0,0,0,0,0,Georgia
0,3,0,0,0,0,0,1,2,2,Georgia
0,2,0,0,0,0,0,0,3,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
1,0,0,0,0,0,0,0,0,2,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,1,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,1,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,1,0,0,0,0,0,0,0,NewYork
0,0,0,0,1,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,0,0,1,NewYork
0,2,0,0,1,0,0,0,1,0,NewYork
0,1,1,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
1,0,0,0,0,0,0,0,0,0,NewYork
1,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
1,1,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,1,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
2,1,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,1,0,0,0,1,NewYork
0,2,0,1,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
0,1,0,1,0,0,0,0,1,0,NewYork
1,0,0,0,0,0,1,0,0,0,NewYork
0,1,0,0,0,0,0,0,0,0,NewYork
0,0,0,2,0,0,1,0,0,1,NewYork
0,1,0,1,1,0,0,0,1,1,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,1,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
1,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,1,0,1,0,NewYork
0,0,0,1,0,1,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,0,0,0,0,1,0,0,0,1,NewYork
0,0,0,0,0,1,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,1,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,1,0,0,0,0,1,1,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,3,0,0,0,0,0,0,0,1,NewYork
1,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,0,0,1,0,0,NewYork
0,0,0,0,0,0,1,0,0,0,NewYork
1,0,0,0,0,0,1,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,1,0,0,1,0,0,NewYork
0,0,0,0,0,0,0,0,1,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,1,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,0,0,1,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
0,0,1,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,1,1,0,NewYork
0,0,2,0,0,0,0,2,0,0,NewYork
0,1,0,1,0,0,0,0,2,2,NewYork
0,1,1,2,0,1,0,1,1,0,NewYork
1,0,0,1,0,0,0,0,0,0,NewYork
0,2,0,2,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
1,1,0,0,1,0,0,0,1,0,NewYork
0,1,0,0,1,0,0,0,1,0,NewYork
0,1,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,2,1,1,0,NewYork
0,1,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,1,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,2,1,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,1,0,NewYork
1,0,0,0,0,0,1,1,0,0,NewYork
0,0,0,0,0,1,1,2,0,0,NewYork
0,1,0,0,0,0,1,2,1,0,NewYork
0,0,1,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,2,NewYork
0,0,0,0,0,0,1,1,0,0,NewYork
0,1,0,0,0,0,1,0,1,0,NewYork
0,0,0,0,1,0,0,0,0,0,NewYork
0,1,0,0,1,0,1,0,0,1,NewYork
0,0,0,0,1,0,0,0,1,0,NewYork
0,0,1,0,1,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
